FIPS ,State,County,Food,"Population Estimate, 2016",PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,PCT_LACCESS_CHILD15,PCT_LACCESS_SENIORS15,PCT_LACCESS_WHITE15,PCT_LACCESS_BLACK15,PCT_LACCESS_HISP15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_MULTIR15,GROCPTH14,SUPERCPTH14,CONVSPTH14,SPECSPTH14,SNAPSPTH16,WICSPTH12,FFRPTH14,FSRPTH14,REDEMP_SNAPS16,PC_SNAPBEN15,PCT_FREE_LUNCH14,PCT_REDUCED_LUNCH14,PC_WIC_REDEMP12,REDEMP_WICS12,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,PC_DIRSALES12,FMRKTPTH16,PCT_FMRKT_SNAP16,PCT_FMRKT_WIC16,PCT_FMRKT_WICCASH16,PCT_FMRKT_SFMNP16,PCT_FMRKT_CREDIT16,PCT_FMRKT_FRVEG16,PCT_FMRKT_ANMLPROD16,PCT_FMRKT_BAKED16,PCT_FMRKT_OTHERFOOD16,VEG_FARMS12,VEG_ACRESPTH12,FRESHVEG_FARMS12,FRESHVEG_ACRESPTH12,ORCHARD_ACRESPTH12,BERRY_ACRESPTH12,GHVEG_SQFTPTH12,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,RECFACPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
1001, Alabama,Autauga ,13.2,"55,416",32.06,11.99,3.35,4.61,8.46,4,23.16,7.73,0.86,0.16,0.11,0.02,0.88,0.07,0.02,0.54,0.04,0.76,0.09,0.65,0.52,239024.02,17.91,0,0,16.64,184744.3,0.97,0.97,0.92,5.58,0.02,0,0,0,0,0,100,0,100,100,45,17.18,43,0,7.29,0.09,0,13,34.1,0.09,77.25,17.58,2.4,0.86,0.4,0.04,12,26.78,56580,12.7,18.8,0,1,0
1003, Alabama,Baldwin ,11.6,"208,563",16.77,5.42,1.91,1.3,3.84,3.06,13.98,1.94,0.76,0.12,0.1,0.01,0.62,0.14,0.03,0.59,0.13,0.95,0.14,0.66,1.1,155844.39,14.16,36.76,5.08,17.92,126639.4,1.02,1,0.94,3.4,0.02,0,0,0,100,50,75,100,75,75,50,11.98,50,0,17.65,0.49,326.48,10.4,27.4,0.12,83.5,9.31,4.38,0.74,0.63,0.04,16.77,22.99,52387,12.9,19.6,0,1,0
1005, Alabama,Barbour ,22,"25,965",22.11,10.74,4.33,4.3,3.76,3,10.3,9.88,1.86,0.06,0.15,0.03,1.68,0.19,0.04,0.71,0.07,1.35,0.26,0.82,0.56,281716.33,31.63,63.93,3.44,40.42,157077.1,1.14,0.99,1.06,0.48,0.15,50,0,0,50,50,50,0,50,50,7,1.18,7,1.51,29.42,1.55,0,18.4,44.4,0,46.75,46.69,5.05,0.39,0.22,0.09,14.24,21.91,31433,32,45.2,1,0,0
1007, Alabama,Bibb ,14.3,"22,643",4.23,2.6,2.82,0.68,1.02,0.6,2.36,1.83,0.04,0.01,0.01,0,0.02,0.22,0.04,0.67,0.04,0.86,0.22,0.22,0.22,256026.92,19.47,54.33,9.12,21.74,98263.4,0.97,0.97,0.92,0.88,0.04,0,0,0,0,0,0,0,0,0,11,2.87,10,0.53,0.57,0,0,14.8,40.3,0.04,75.02,21.92,1.77,0.1,0.28,0.03,12.68,22.7,40767,22.2,29.3,1,1,0
1009, Alabama,Blount ,10.7,"57,704",6.5,2.88,3.34,0.81,1.59,0.88,5.91,0.17,0.87,0.01,0.05,0,0.35,0.1,0.02,0.47,0,0.82,0.1,0.36,0.26,141304.9,15.8,44.99,8.09,15.47,149110,0.97,0.97,0.92,8.57,0.02,0,100,0,100,0,100,100,100,100,64,10.13,59,11.32,3.05,0.66,0,14.1,34.6,0.05,88.89,1.26,8.07,0.2,0.5,0.03,14.72,24.61,50487,14.7,22.2,0,1,0
1011, Alabama,Bullock ,24.8,"10,362",37.95,19.74,11.1,6.02,5.65,5.19,13.4,24.14,0.22,0.01,0.07,0,0.33,0.19,0,0.28,0,1.07,0.19,0.28,0.09,210721.36,35.28,63.86,0,0,0,0.97,0.97,0.92,5.47,0.1,0,0,0,0,0,0,0,0,0,8,12.63,8,6.6,61.85,0,0,19.6,43,0,21.92,69.97,7.12,0.18,0.18,0.04,13.46,22.26,28251,39.6,51.2,1,0,0
1013, Alabama,Butler ,20.6,"19,998",6.23,2.93,3.77,1.08,1.26,1.22,3.48,2.63,0.05,0.02,0.03,0,0.05,0.15,0.05,1.03,0,1.29,0.2,0.84,0.49,305223.87,31.26,65.84,5.33,40.13,203713.2,0.97,0.97,0.92,6.42,0.1,0,0,0,50,0,50,0,0,0,23,3.92,23,4.9,24.35,0,0,17.7,36.3,0.05,54.06,43.19,0.91,0.83,0.28,0.03,16.66,24.14,33868,25.8,36,1,0,1
1015, Alabama,Calhoun ,15.7,"114,611",23.43,9.18,2.61,4.08,5.2,3.76,17.76,4.61,0.82,0.2,0.1,0.02,0.75,0.23,0.03,0.64,0.01,1.18,0.16,0.89,0.66,261900.12,26.82,53.57,7.16,24.14,148999.4,0.97,0.97,0.92,2.43,0.02,50,0,0,100,50,100,100,100,100,15,0.39,15,0,0.78,0.1,0,14.9,32.2,0.06,73.61,20.39,3.28,0.7,0.4,0.08,14.33,22.88,42091,20,30.7,0,1,0
1017, Alabama,Chambers ,17.9,"33,843",20.84,10.33,5.24,3.61,4.66,3.7,12.51,7.65,0.37,0.32,0.06,0,0.3,0.21,0.03,0.67,0.06,1.11,0.18,0.76,0.47,270583.61,27.35,65.35,7.31,28.53,161957.1,0.86,0.99,0.8,1.97,0.03,0,0,0,0,0,100,0,100,100,8,1.14,8,0,4.4,0.15,154.95,16.4,39.7,0,58.14,38.6,1.57,0.49,0.17,0.02,16.68,22.51,35560,22.4,34.4,1,0,1
1019, Alabama,Cherokee ,12.5,"25,725",0.4,0.22,2.82,0.05,0.07,0.05,0.39,0.01,0,0,0,0,0,0.19,0.04,0.69,0.04,1.26,0.23,0.58,0.42,178751.88,22.35,51.15,10.77,27.37,118678.5,0.86,0.99,0.8,1.19,0.04,0,0,0,100,100,100,0,0,100,4,4.42,4,0,1.31,0,0,13.3,33.6,0.04,92.07,4.64,1.23,0.19,0.47,0,17.9,21.42,39144,19.4,30.2,0,0,0
